values_fd,values_o
180.83021911621108,7324.4
169.37971313476646,7201.7
151.53559997558568,7196.4
51.476157226562464,7177.0
209.38594299316446,7140.6
275.12918945312504,7005.5
261.9375500488286,7034.2
190.64499023437475,7124.0
163.01609252929666,7196.8
135.32119506835897,7196.8
257.72122985839815,7170.9
185.4682574462895,7118.6
167.00588012695334,7190.7
182.24933715820316,7185.7
224.69514282226646,7164.2
241.2661175537105,7158.9
174.96474487304658,7195.8
214.41661987304633,7247.3
167.75869018554658,7230.8
181.3998522949214,7255.8
188.9581298828125,7232.5
175.12075256347725,7224.6
171.80752990722704,7224.1
161.39699768066384,7209.6
215.953125,7192.5
187.61947265625076,7165.5
232.1474072265628,7194.0
210.16281799316403,7192.1
202.19168945312504,7235.5
223.40077270507754,7254.7
226.25239746093757,7266.0
216.97818786621065,7298.4
206.35807495117206,7332.3
204.12991210937525,7356.0
173.54847290039106,7368.7
173.8810894775388,7379.1
224.92606079101552,7358.7
242.7072845458979,7339.9
195.45074768066388,7372.6
197.2762499999999,7421.0
211.31302734375004,7420.5
235.77384277343754,7423.0
250.1891546630859,7439.4
180.7821630859371,7479.5
211.21541442871148,7532.4
107.26755493164092,7514.2
229.79093811035182,7528.6
241.87968688964884,7437.9
184.7485357666019,7474.6
176.19926208496145,7519.4
208.99963012695298,7505.7
178.93630981445312,7485.2
200.71755004882743,7498.2
195.08999023437445,7480.0
247.20128784179633,7484.8
222.7764392089848,7483.3
208.36002014160204,7534.1
166.4649652099606,7557.9
200.8219177246092,7567.3
222.58074645996112,7534.9
262.62086059570265,7538.7
219.0119128417973,7563.3
195.36831420898488,7626.8
210.0728131103515,7644.1
116.99300720214887,7638.4
236.26233459472678,7648.1
178.94300354003917,7564.1
100.81956909179735,7603.8
174.9475500488279,7582.2
259.1082128906255,7484.5
180.1441247558596,7465.3
115.18362243652336,7528.9
180.76006774902362,7509.9
173.1803118896487,7428.4
232.91291076660127,7416.1
201.68074645996148,7394.9
198.62793090820287,7434.2
157.25455932617206,7439.8
76.06883789062431,7443.0
141.1060974121092,7404.8
210.9242523193352,7287.4
234.64999999999964,7240.0
201.00269531249978,7262.0
156.0792871093745,7305.5
204.67962524413997,7313.7
223.16190490722693,7277.6
198.88752502441366,7292.1
191.7370654296874,7323.5
187.7566595458984,7329.4
200.6457476806645,7328.6
199.28009765624938,7324.0
192.40822753906286,7332.5
223.43118713378863,7339.1
221.48067504882783,7338.7
238.71475585937515,7369.5
155.86101440429684,7396.8
145.0931848144528,7440.7
148.64505004882812,7400.2
141.23038085937515,7352.0
165.37601440429717,7308.8
189.75390747070287,7259.2
144.34390258789062,7235.2
199.45430236816355,7235.6
204.42758789062464,7190.0
165.60254272460952,7201.8
139.63353942871072,7216.9
183.27827758789135,7192.7
246.677427368164,7144.1
216.61643554687544,7141.0
163.8178796386719,7200.3
196.37062499999956,7226.5
156.40000000000055,7200.0
174.0599999999995,7208.0
194.96855468750073,7175.0
197.8543652343751,7161.5
193.65599487304644,7168.8
217.9806628417964,7178.3
149.12673217773408,7183.3
137.0855621337896,7212.6
219.4473156738286,7171.7
203.5242871093751,7121.5
177.16909790039062,7155.2
188.5450347900387,7170.1
171.76067993164088,7158.7
135.42978576660153,7159.6
153.028871459961,7143.4
195.4625012207025,7091.7
194.8647644042967,7059.8
102.75558715820353,7070.7
142.1771154785165,7079.7
98.58039978027318,6996.4
195.86400817871163,6956.9
233.0069714355468,6873.8
160.1791857910157,6891.2
188.8859368896483,6942.9
137.32978576660116,6919.6
193.0091644287104,6927.4
181.04058227539008,6882.7
146.40800354003932,6896.1
94.28476440429677,6895.8
136.55621215820338,6861.2
154.31014282226533,6776.2
105.4638128662109,6736.9
208.46182495117228,6715.3
297.0160644531252,6645.0
169.7081750488287,6680.7
131.85475585937547,6801.5
125.9272644042967,6789.8
195.72183715820302,6743.7
191.36971313476624,6693.7
124.49612731933576,6714.9
181.42427734374996,6729.5
220.24134277343728,6677.0
260.1955023193359,6684.4
161.06105468750047,6729.0
97.01706054687475,6811.5
197.84485229492202,6791.8
186.4438525390624,6711.0
208.83786682128903,6734.6
199.50250122070338,6743.7
240.89663940429637,6775.3
114.40015747070356,6796.2
221.57265258789084,6858.2
177.71156799316395,6791.1
173.30500976562507,6836.0
146.37130981445353,6833.2
188.47889770507845,6827.2
196.70091308593783,6794.5
181.53176208496097,6805.4
200.10890747070334,6823.2
239.10640258789044,6825.2
179.05502502441414,6846.1
195.27644042968768,6905.0
179.17156188964873,6901.4
189.99959045410196,6915.6
147.7935296630867,6912.9
167.4843701171867,6921.5
206.9695404052727,6887.4
165.20603942871094,6874.9
159.43972290038982,6901.7
157.28849182128943,6885.1
153.3655285644527,6864.2
106.41235717773452,6841.8
194.2275347900395,6816.1
151.98025024414073,6744.2
164.2313775634766,6763.1
238.14877990722744,6737.1
195.92867736816424,6725.1
144.77403320312442,6787.0
185.17643920898445,6803.3
143.90416076660222,6769.1
